"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
267,"NCT04548544","A Randomized Controlled Feasibility Study of Emotional Well-being of Adolescents Undergoing a Mindfulness Training During COVID-19",,"Completed","No Results Available","Healthy","Behavioral: Training for Awareness, Resilience, and Action (TARA)","Change in Emotional Problems","University of California, San Francisco","All","14 Years to 18 Years   (Child, Adult)","Not Applicable","21","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Basic Science","19-29083 (b)","October 18, 2019","May 20, 2020","May 20, 2020","September 14, 2020",,"September 14, 2020","UCSF, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT04548544"
268,"NCT04530448","Coronavirus Induced Acute Kidney Injury: Prevention Using Urine Alkalinization",,"Recruiting","No Results Available","COVID|Coronavirus|Coronavirus Infection|AKI|Acute Kidney Injury","Drug: Sodium bicarbonate|Other: Standard of Care","pH|Number of Days Alive Free of Stage 2-3 AKI|Stage 2-3 AKI|Vent-Free|Hospital-Free","West Virginia University","All","18 Years and older   (Adult, Older Adult)","Phase 4","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","WVU Protocol #2005006707","October 5, 2020","January 2021","March 2021","August 28, 2020",,"October 19, 2020","WVU Medicine Heart & Vascular Institute, Morgantown, West Virginia, United States",,"https://ClinicalTrials.gov/show/NCT04530448"
269,"NCT04453657","Tele-Wellness Supported App for Family Child Care Home Providers and Families to Promote Health, Family Engagement, and School Readiness Amid COVID-19",,"Enrolling by invitation","No Results Available","Stress, Psychological|Child Behavior|Social Competence","Device: FamilyChildCare (provisional name of app)","Change in Perceived Level of Stress as assessed by the Perceived Stress Scale|Change in Perceived Level of Informational Support as assessed by the PROMIS Informational Support Short Form|Change in Awareness of the Maryland Early Childhood Family Engagement Framework and Toolkit as assessed by a survey question|Change in Social, Emotional, and Behavior Functioning in Children as assessed by the Social Competence and Behavior Evaluation for Children|Change in Quality of the Parent-Child Care Relationship as assessed by the Supportive Parent-Caregiver Relationship Subscale","Johns Hopkins University","All","3 Years to 99 Years   (Child, Adult, Older Adult)","Not Applicable","270","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00250864","October 2020","September 2021","September 2021","July 1, 2020",,"October 19, 2020","Johns Hopkins School of Nursing, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04453657"
270,"NCT04386291","Meditation and Kundalini Yoga for Heightened Anxiety Related to COVID-19",,"Recruiting","No Results Available","Generalized Anxiety|Health Anxiety","Behavioral: Anxiety Reduction Training|Behavioral: Kundalini Yoga and Anxiety Reduction Training|Behavioral: Meditation and Anxiety Reduction Training","GAD-7|Whiteley 8|PHQ-8|SS-8|Applied Cognition 1.0|PROMIS-4 Sleep Disturbance|ERQ|Perceived Stress Scale|Brief Hypervigilance Scale","Research Foundation for Mental Hygiene, Inc.","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","360","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","7987","May 25, 2020","May 19, 2021","January 30, 2022","May 13, 2020",,"July 1, 2020","ProofPilot (Virtual Study: https://proofpilot.com/covid-anxiety/), New York, New York, United States|Columbia University Department of Psychiatry, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04386291"
271,"NCT04306393","Nitric Oxide Gas Inhalation in Severe Acute Respiratory Syndrome in COVID-19","NOSARSCOVID","Recruiting","No Results Available","SARS (Severe Acute Respiratory Syndrome)|Coronavirus","Drug: Nitric Oxide Gas","Change of arterial oxygenation at 48 hours from enrollment|Time to reach normoxemia during the first 28 days after enrollment|Proportion of SARS-nCoV-2 free patients during the first 28 days after enrollment|Survival at 28 days from enrollment|Survival at 90 days from enrollment","Massachusetts General Hospital|Xijing Hospital|Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico|Niguarda Hospital","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","NO-SARS-COVID-19","March 21, 2020","March 21, 2021","March 21, 2022","March 12, 2020",,"July 14, 2020","University of Alabama, Birmingham, Alabama, United States|Louisiana State University Health Shreveport, Shreveport, Louisiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04306393"
272,"NCT04513158","Convalescent Plasma in the Early Treatment of High-Risk Patients With SARS-CoV-2 (COVID-19) Infection",,"Recruiting","No Results Available","Covid19","Biological: Convalescent Plasma","Determine the therapeutic efficacy (response rate) of convalescent plasma infusion in patients at high risk for mortality when infected by SARS-CoV-2 (COVID-19).|Determine the immunologic effects of convalescent plasma infusion|Absolute lymphocyte count (10*3/uL)|reatinine kinase (mg/dL)|C-reactive protein (mg/dl)|D-Dimer (ng/ml FEU)|Interleukin-6 (pg/ml)|Ferritin (ng/mL)","Joseph M. Flynn, D.O., MPH|Norton Healthcare","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-N0124","August 14, 2020","August 1, 2021","December 31, 2021","August 14, 2020",,"October 19, 2020","Norton Hospital, Louisville, Kentucky, United States|Norton Women's and Children's Hospital, Louisville, Kentucky, United States|Norton Audubon Hospital, Louisville, Kentucky, United States|Norton Brownsboro Hospital, Louisville, Kentucky, United States",,"https://ClinicalTrials.gov/show/NCT04513158"
273,"NCT04335552","Pragmatic Factorial Trial of Hydroxychloroquine, Azithromycin, or Both for Treatment of Severe SARS-CoV-2 Infection",,"Terminated","No Results Available","SARS-CoV-2","Other: Standard of care|Drug: Hydroxychloroquine|Drug: Azithromycin","World Health Organization (WHO) ordinal scale measured at 14 days after enrollment|Rates of death during the index hospitalization|Number of days on mechanical ventilation for patients who were on mechanical ventilation at baseline|Proportion of patients not receiving mechanical ventilation at baseline who progress to requiring mechanical ventilation during the index hospitalization|WHO ordinal scale measured at 28 days after enrollment|Hospital length of stay in days for the index hospitalization|Rates of all-cause study medication discontinuation|Rates of severe adverse events","Duke University","All","12 Years and older   (Child, Adult, Older Adult)","Phase 2","11","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PRO00105339","April 17, 2020","June 17, 2020","June 26, 2020","April 6, 2020",,"July 31, 2020","Duke Regional Hospital, Durham, North Carolina, United States|Duke University Hospital, Durham, North Carolina, United States|Durham VA Medical Center, Durham, North Carolina, United States|Duke Raleigh Hospital, Raleigh, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04335552"
274,"NCT04398277","A Daily Coping Toolkit for Medical Personnel and First-Responders During COVID-19 Pandemic",,"Recruiting","No Results Available","Psychological Stress","Behavioral: Daily Coping Toolkit","Patient Health Questionnaire - 4|World Health Organization Well Being Questionnaire|Affective Experience|Treatment Acceptability Questionnaire","Kent State University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Supportive Care","20-183","May 1, 2020","April 2021","April 2021","May 21, 2020",,"May 21, 2020","Akron Children's Hospital, Akron, Ohio, United States|Summa Health Systems, Akron, Ohio, United States|Kent State University, Kent, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04398277"
275,"NCT04340557","Do Angiotensin Receptor Blockers Mitigate Progression to Acute Respiratory Distress Syndrome With SARS-CoV-2 Infection",,"Recruiting","No Results Available","SARS-CoV Infection","Drug: Losartan","Mechanical ventilation|ICU transfer|Oxygen therapy","Sharp HealthCare","All","18 Years and older   (Adult, Older Adult)","Phase 4","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","COVID-ARB|2003902","March 27, 2020","October 6, 2020","December 31, 2020","April 9, 2020",,"June 2, 2020","Sharp Grossmont Hospital, La Mesa, California, United States|Sharp Chula Vista Medical Center, San Diego, California, United States|Sharp Coronado Hospital, San Diego, California, United States|Sharp Memorial Hospital, San Diego, California, United States",,"https://ClinicalTrials.gov/show/NCT04340557"
276,"NCT04419025","Efficacy of N-Acetylcysteine (NAC) in Preventing COVID-19 From Progressing to Severe Disease",,"Recruiting","No Results Available","COVID|Sars-CoV2|SARS-Associated Coronavirus as Cause of Disease Classified Elsewhere|Oxidative Stress","Drug: N-acetylcysteine","Decrease in Respiratory Rate|Hospital length of stay (LOS)|Need for mechanical ventilation|Length of time intubated|Need for hospitalization|Recovery disposition","Cambridge Health Alliance","All","18 Years and older   (Adult, Older Adult)","Phase 4","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CHA-IRB-1139/05/20","September 23, 2020","January 31, 2021","May 31, 2021","June 5, 2020",,"September 25, 2020","CHA Cambridge Hospital, Cambridge, Massachusetts, United States|CHA Everett Hospital, Everett, Massachusetts, United States|CHA Respiratory Clinic, Somerville, Massachusetts, United States|CHA Somerville campus, Somerville, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04419025"
277,"NCT04341441","Will Hydroxychloroquine Impede or Prevent COVID-19","WHIP COVID-19","Recruiting","No Results Available","COVID-19|Coronavirus|Coronavirus Infections|SARS-CoV 2","Drug: Hydroxychloroquine - Daily Dosing|Drug: Hydroxychloroquine - Weekly Dosing|Other: Placebo oral tablet|Diagnostic Test: Monitoring Visit - Baseline|Diagnostic Test: Monitoring Visit - Week 4|Diagnostic Test: Monitoring Visit - Week 8|Other: Weekly Assessment","To determine if the use of hydroxychloroquine as preventive therapy decreases the rate of acquisition of SARS-CoV 2 infections and clinical COVID-19 disease in Study Participants for each randomized treatment arm as compared to placebo.|Determine the effect of hydroxychloroquine dose in the prevention of COVID-19 viremia and disease.|Assess the impact of chronic weight-based dosing of HCQ for COVID-19 prevention.|Comparison of the rate of SARS-CoV 2 infections as measured by IgM/IgG seroconversion in study participants receiving randomized HCQ versus placebo.|Compare the seroprevalence of SARS-CoV 2 IgM/IgG positive samples at study entry and study conclusion in all participants receiving HCQ compared to those receiving placebo.|Comparison of the emergence of clinical symptoms or COVID-19 diagnosis in participants presenting asymptomatically at study entry but identified as seropositive by serology at entry between the randomized treatment arms and comparator arm.|To examine the level of care needed by participants in each arm developing COVID19 as measured as requiring emergency room visit, hospitalization or able to stay home without hospital care.|Determine the safety and tolerability of HCQ dosing for preventive strategy against COVID-19 as measured by adverse events and serious adverse events.|To examine other clinical determinants contributing to the risk of SARS-CoV 2 infection in healthcare workers and first responders.|Examine the association between HCQ drug levels and development of COVID-19 symptoms or positive test results.|identify immunologic, serological and inflammatory markers associated with acquisition and response to COVID-19 in both HCQ and placebo Participants developing laboratory or clinical confirmed disease.","Henry Ford Health System","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","3000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","1410401","April 7, 2020","June 30, 2020","April 30, 2021","April 10, 2020",,"May 7, 2020","Henry Ford Hospital, Detroit, Michigan, United States|Detroit Department of Transportation (DDOT), Detroit, Michigan, United States|Detroit Fire Department & Detroit EMS, Detroit, Michigan, United States|Detroit Police Department, Detroit, Michigan, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT04341441/Prot_001.pdf","https://ClinicalTrials.gov/show/NCT04341441"
278,"NCT04311177","Losartan for Patients With COVID-19 Not Requiring Hospitalization",,"Recruiting","No Results Available","Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection","Drug: Losartan|Other: Placebo","Hospital Admission|Change in PROMIS Dyspnea Functional Limitations|Change in PROMIS Dyspnea Severity|Daily Maximum Temperature|Emergency Department/Clinic Presentations|Disease Severity Rating Day 7|Disease Severity Rating Day 15|Disease Severity Rating Day 28|Viral Load by Oropharyngeal Swab Day 9|Viral Load by Oropharyngeal Swab Day 15|Ventilator-Free Days|Therapeutic Oxygen-Free Days|Need for Hospital Admission at 15 Days|Need for Oxygen Therapy at 15 Days","University of Minnesota|The Minnesota Foundation","All","18 Years and older   (Adult, Older Adult)","Phase 2","580","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","SURG-2020-28683","April 9, 2020","April 1, 2021","April 1, 2021","March 17, 2020",,"June 16, 2020","Hennepin County Medical Center, Minneapolis, Minnesota, United States|M Health Fairview University of Minnesota Medical Center, Minneapolis, Minnesota, United States|University of Minnesota, Minneapolis, Minnesota, United States|Mayo Clinic Health System, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04311177"
279,"NCT04473599","Stay Well at Home: a Text-messaging Study Social Distancing",,"Recruiting","No Results Available","Depressive Symptoms|Anxiety|COVID-19","Behavioral: Uniform random message delivery|Behavioral: Reinforcement learning message delivery","Depression scores|Anxiety scores|Self reported mood ratings","University of California, Berkeley","All","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","2020-04-13162","April 17, 2020","April 1, 2021","April 1, 2021","July 16, 2020",,"July 28, 2020","University of California Berkeley, Berkeley, California, United States",,"https://ClinicalTrials.gov/show/NCT04473599"
280,"NCT04160975","Persuasion in Medicine: Experimental Evidence on Sender and Signal Effects",,"Enrolling by invitation","No Results Available","Flu, Human|Influenza, Human|Covid19","Behavioral: Video about safety and effectiveness of adult seasonal flu vaccination|Behavioral: Message directing subjects to information on COVID-19 vaccine safety and efficacy","Posterior beliefs about the risk/benefits of the flu shot|Demand for information about a COVID-19 vaccine|Willingness-to-pay (WTP) for a free flu shot coupon|Level of attention and recall from the infomercial video during Baseline survey|Level of attention and recall from the infomercial video during Endline survey|Redemption of said coupon","Harvard University|Stanford University|Massachusetts Institute of Technology","Male","18 Years to 51 Years   (Adult)","Not Applicable","3350","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Health Services Research","IRB19-1424","December 20, 2019","February 15, 2021","February 15, 2021","November 13, 2019",,"October 14, 2020","Harvard University, Cambridge, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04160975"
281,"NCT04441632","Effect of Positive Attitudes on Behavior and Wellness","TEAM-ICU","Completed","No Results Available","Burnout|Stress, Emotional","Behavioral: Positive feedback","Teamwork climate, as measured by selected items from the validated Safety Attitude Questionnaire (SAQ)|Resiliency, as measured by the validated Brief Resilience Scale (BRS)|Burnout, as validated by the single-item burnout scale inventory","Cedars-Sinai Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","24","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00000786","June 15, 2020","July 26, 2020","July 30, 2020","June 22, 2020",,"August 12, 2020","Cedars-Sinai Medical Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT04441632"
282,"NCT04370262","Multi-site Adaptive Trials for COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: SOC + Intravenous Famotidine|Drug: SOC + Placebo","Mortality|Virologic response to study treatment detected in blood|Virologic clearance in nasal swab and/or lower respiratory secretions|Clinical Severity","Northwell Health","All","18 Years and older   (Adult, Older Adult)","Phase 3","942","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","20-0268","April 7, 2020","September 7, 2020","April 7, 2021","April 30, 2020",,"June 16, 2020","Southside Hospital, Bay Shore, New York, United States|North Shore University Hospital, Manhasset, New York, United States|Northern Westchester Hospital, Mount Kisco, New York, United States|Lenox Hill Hospital, New York, New York, United States|Long Island Jewish Medical Center, Queens, New York, United States",,"https://ClinicalTrials.gov/show/NCT04370262"
283,"NCT04514900","Exploring Optimal Treatment Components for Contactless Online Group-based Behavioral Weight Loss Program","iREACH","Recruiting","No Results Available","Obesity","Behavioral: Video Chat +Personalized Feedback|Behavioral: Video Chat + Basic Feedback|Behavioral: Discussion Board for Social Support +Basic Feedback|Behavioral: Discussion Board for Social Support+Personalized Feedback","Weight loss|Change in body weight from baseline calculated as % of body weight lost|Treatment Engagement: daily weighing|Treatment Engagement: weekly food journal submissions|Treatment Engagement: completion of the 16 weekly interactive online modules|Treatment Engagement: Attendance at Video Chat condition","University of South Carolina|University of Vermont|University of Tennessee","All","18 Years and older   (Adult, Older Adult)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Pro00101006","September 23, 2020","September 15, 2021","September 15, 2021","August 17, 2020",,"September 30, 2020","University of South Carolina, Columbia, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04514900"
284,"NCT04480112","Impact of Covid-19 on Frequent Social Interaction Through Communication Technologies in the Cognitive Status of Socially-isolated Older Adults",,"Enrolling by invitation","No Results Available","Memory Disorders|Alzheimer Disease|Mild Cognitive Impairment","Behavioral: Technology based social interactions|Other: No research related technology based social interactions","Change in memory performance|Change in cognition|Change in phonemic fluency|Social isolation|Loneliness|Depressive symptoms|Misinformation about Covid-19","Boston University","All","Child, Adult, Older Adult","Not Applicable","150","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Other","H-26786","June 2, 2020","May 2021","May 2021","July 21, 2020",,"September 4, 2020","Boston University Alzheimer Disease Center, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04480112"
285,"NCT04420273","Targeted Melanoma Detection With Skin Self-Examination During COVID-19 Restricted Physician Access","TMD","Active, not recruiting","No Results Available","Melanoma","Behavioral: SSE educational intervention|Other: Home sample collection of concerning mole with physician supervision|Behavioral: Active control:Healthy Living","Change in SSE performance|Identification of concerning mole|Effectiveness of adhesive patch-based home sample collection for genomic analysis of concerning moles to rule-out melanoma|Change in skin self-examination anxiety|Change in confidence performing mole checks|Number of physician visits for concerning moles|Number of biopsies of concerning moles","Northwestern University","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","STU00212165","July 2, 2020","March 30, 2021","December 30, 2021","June 9, 2020",,"September 4, 2020","Northwestern University Feinberg School of Medicine Department of Dermatology, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04420273"
286,"NCT04490278","CoV-PICS: A Virtual Post-ICU Clinic",,"Recruiting","No Results Available","Post ICU Syndrome","Other: Medical Record Review - Inpatient Treatment|Other: Online Questionnaires","Acceptance with virtual CoV-PICS Visits - AIM|Acceptance with virtual CoV-PICS Visits - IAM|Acceptance with virtual CoV-PICS Visits - FIM|PICS Symptoms - Daily living|PICS Systems - Cognitive|PICS Systems - Nutrition|PICS Systems - PROMIS|PICS Symptoms - Memory","Washington University School of Medicine","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","80","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","202007053","September 29, 2020","July 30, 2021","July 30, 2021","July 29, 2020",,"October 5, 2020","Washington University School of Medicine/Barnes-Jewish Hospital, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04490278"
287,"NCT03852537","Steroid Dosing by bioMARker Guided Titration in Critically Ill Patients With Pneumonia",,"Recruiting","No Results Available","Pneumonia","Drug: Methylprednisolone|Other: Usual Care","Feasibility of the timely initiation of corticosteroids and implementation of biomarker-titrated corticosteroid dosing: percentage of eligible patients adhered to the timely initiation|Mortality|Progression of disease|Evolution of respiratory failure|Evolution of kidney failure|Evolution of shock|Length of stay|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]: Hyperglycemia|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]: Delirium|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]: Secondary Infection","Mayo Clinic","All","18 Years and older   (Adult, Older Adult)","Phase 2","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","18-010925","December 2, 2019","July 2021","July 2022","February 25, 2019",,"April 22, 2020","Mayo Clinic in Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03852537"
288,"NCT04378803","Mindfulness Training for Seniors",,"Completed","No Results Available","Well Aging","Behavioral: Mindfulness training (MT) Connect","Change in mindfulness skills as measured by Five-Facet Mindfulness Questionnaire (5FMQ)|Change in mindfulness skills as measured by decentering - Experiences Questionnaire (EQ).|Change in psychological health as measured by Patient Health Questionnaire 4 items (PHQ4).|Change in positive affect on psychological health as measured by the short variant of the Positive and Negative Affect Scale (PANAS).|Change in negative affect on psychological health as measured by the short variant of the Positive and Negative Affect Scale (PANAS).|Change in loneliness measured by the loneliness questions from the social isolation battery.|Change in loneliness measured by a loneliness question.|Change in attention|Change in well-being as measured by the Perseverative Thought Questionnaire (PTQ)|Change in well-being as measured by the Experience of Intrusions Scale (EIS)|Change in well-being as measured by the short version of the perceived stress scale (PSS).|Change in well-being as measured by the PERMA-Profiler","University of Miami","All","60 Years to 95 Years   (Adult, Older Adult)","Not Applicable","53","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","20200443","May 13, 2020","August 4, 2020","August 4, 2020","May 7, 2020",,"August 17, 2020","University of Miami, Coral Gables, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04378803"
289,"NCT04418947","Project Resurgence Communication Trial",,"Completed","No Results Available","Communication Research","Other: Communication type","Percent with visit or procedure with provider|Percent with scheduled visit or procedure with provider|Percent with completed telemedicine visit with provider","University of Pennsylvania","All","Child, Adult, Older Adult","Not Applicable","11120","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Other","843220","June 15, 2020","July 17, 2020","July 17, 2020","June 5, 2020",,"July 31, 2020","University of Pennsylvania, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04418947"
290,"NCT04505098","A Pragmatic Randomized Trial of Icosapent Ethyl for High-Cardiovascular Risk Adults","MITIGATE","Recruiting","No Results Available","Covid19|Atherosclerosis|Cardiovascular Diseases|Upper Respiratory Tract Infections","Drug: Icosapent ethyl","Percentage of patients with moderate or severe confirmed viral URIs|Worst clinical status due to a confirmed viral URI","Kaiser Permanente|Amarin Corporation","All","50 Years and older   (Adult, Older Adult)","Phase 4","16500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","1597940","August 7, 2020","August 7, 2021","February 28, 2023","August 10, 2020",,"October 5, 2020","Kaiser Permanente Northern California, Oakland, California, United States",,"https://ClinicalTrials.gov/show/NCT04505098"
291,"NCT04148430","A Study of Anakinra to Prevent or Treat Severe Side Effects for Patients Receiving CAR-T Cell Therapy",,"Recruiting","No Results Available","B Cell ALL|B-Cell Lymphoma|B-cell Non Hodgkin Lymphoma","Drug: Anakinra","Arm 1 (CAR T Cell Group) Rate of Severe Neurotoxicities|Arm 2 (COVID-19 Group) proportion of patients able to avoid death or mechanical ventilation","Memorial Sloan Kettering Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","90","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","19-168","October 30, 2019","October 2022","October 2022","November 1, 2019",,"August 24, 2020","Memorial Sloan Kettering Cancer Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04148430"
292,"NCT04595695","The Effect of Clear Masks in Improving Patient Relationships",,"Recruiting","No Results Available","Communication|Trust|Covid19|Surgery","Behavioral: Transparent mask|Behavioral: Typical surgical covered mask","Patient Mask Preference Quantitative|Patient Mask Preference Qualitative|Patient Survey Scores Evaluating Surgeon Communication Skills|Patient Survey Scores Describing Trust in the Surgeon","University of North Carolina, Chapel Hill","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Health Services Research","20-2229","September 3, 2020","December 2020","December 2020","October 20, 2020",,"October 20, 2020","University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04595695"
293,"NCT02332850","A Phase Ib Study of SAR650984 in Combination With Carfilzomib for the Treatment of Relapsed or Refractory Multiple Myeloma",,"Suspended","No Results Available","Multiple Myeloma","Biological: Isatuximab|Drug: Carfilzomib|Drug: Dexamethasone|Drug: Lenalidomide","Incidence of adverse events (AE's) as measured by the National Cancer Institute (NCI) Common Toxicity Criteria for Adverse Events (CTCAE) version (v)4.03|Maximum tolerated dose of isatuximab|Pharmacokinetic (PK) profile of isatuximab|Overall response rate|Clinical benefit response|Overall survival (OS)|Progression Free Survival (PFS)|Time To Progression (TTP)|Duration of Response (DOR)|Incidence of isatuximab-specific antidrug antibodies|Percentage of bone marrow cells expressing cell surface determinant, CD38 and receptor density|Changes in pharmacodynamics variables as they relate to dose, response, and toxicity of carfilzomib in combination with isatuxima","Thomas Martin|University of California, San Francisco","All","up to 18 Years   (Child, Adult)","Phase 1","66","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","139511|NCI-2015-00712","December 17, 2014","December 31, 2024","December 31, 2024","January 7, 2015",,"March 11, 2020","University of California, San Francisco, San Francisco, California, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT02332850"
294,"NCT04401293","Full Dose Heparin Vs. Prophylactic Or Intermediate Dose Heparin in High Risk COVID-19 Patients",,"Recruiting","No Results Available","Sars-CoV2|COVID","Drug: Enoxaparin|Drug: Prophylactic/Intermediate Dose Enoxaparin","Composite outcome of arterial thromboembolic events, venous thromboembolic events and all-cause mortality at Day 30 ± 2 days.|Major bleeding|Composite outcome of arterial thromboembolic events, venous thromboembolic events and all-cause mortality at Hospital Day 10 + 4|Sepsis-induced coagulopathy (SIC) score|Progression to Acute Respiratory Distress Syndrome (ARDS)|Need for Intubation|Re-hospitalization","Northwell Health","All","18 Years and older   (Adult, Older Adult)","Phase 3","308","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","20-0340","April 26, 2020","October 22, 2020","April 26, 2021","May 26, 2020",,"June 9, 2020","Beth Israel Newark, Newark, New Jersey, United States|Southside Hospital, Bay Shore, New York, United States|Huntington Hospital, Huntington, New York, United States|Lenox Hill Hospital, New York, New York, United States|Long Island Jewish Medical Center, Queens, New York, United States|Staten Island University Hospital, Staten Island, New York, United States",,"https://ClinicalTrials.gov/show/NCT04401293"
